type	subtype	ref	desc
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Id|WP_038404949.1	aminoglycoside N-acetyltransferase AAC(3)-Id
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-If|WP_063856942.1	aminoglycoside N-acetyltransferase AAC(3)-If
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-If|WP_071846359.1	aminoglycoside N-acetyltransferase AAC(3)-If
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ig|WP_011468318.1	aminoglycoside N-acetyltransferase AAC(3)-Ig
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ih|ABL71428.1	aminoglycoside N-acetyltransferase AAC(3)-Ih
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-Ii|WP_011540937.1	aminoglycoside N-acetyltransferase AAC(3)-Ii
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-I|WP_011270148.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-I|WP_063840256.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-I	NCBI|amr:amr|aminoglycoside|aac(3)-I|WP_063840260.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IIa|WP_063840264.1	aminoglycoside N-acetyltransferase AAC(3)-IIa
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IIb|WP_033147097.1	aminoglycoside N-acetyltransferase AAC(3)-IIb
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IIc|WP_063840266.1	aminoglycoside N-acetyltransferase AAC(3)-IIc
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IId|WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IId|WP_063840265.1	aminoglycoside N-acetyltransferase AAC(3)-IId
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IIe|WP_000557452.1	aminoglycoside N-acetyltransferase AAC(3)-IIe
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IIe|WP_002063884.1	aminoglycoside N-acetyltransferase AAC(3)-IIe
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IIe|WP_015060297.1	aminoglycoside N-acetyltransferase AAC(3)-IIe
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IIe|WP_063840267.1	aminoglycoside N-acetyltransferase AAC(3)-IIe
aminoglycoside	aac(3)-II	NCBI|amr:amr|aminoglycoside|aac(3)-IIg|WP_012695485.1	aminoglycoside N-acetyltransferase AAC(3)-IIg
aminoglycoside	aac(3)-III	NCBI|amr:amr|aminoglycoside|aac(3)-IIIa|WP_063840261.1	aminoglycoside N-acetyltransferase AAC(3)-IIIa
aminoglycoside	aac(3)-III	NCBI|amr:amr|aminoglycoside|aac(3)-IIIb|WP_058179966.1	aminoglycoside N-acetyltransferase AAC(3)-IIIb
aminoglycoside	aac(3)-III	NCBI|amr:amr|aminoglycoside|aac(3)-IIIc|WP_063840263.1	aminoglycoside N-acetyltransferase AAC(3)-IIIc
aminoglycoside	aac(3)-IV	NCBI|amr:amr|aminoglycoside|aac(3)-IVa|WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IVa
aminoglycoside	aac(3)-IV	NCBI|amr:amr|aminoglycoside|aac(3)-IVb|WP_149317372.1	aminoglycoside N-acetyltransferase AAC(3)-IVb
aminoglycoside	aac(3)-IX	NCBI|amr:amr|aminoglycoside|aac(3)-IXa|WP_063840269.1	aminoglycoside N-acetyltransferase AAC(3)-IXa
aminoglycoside	aac(3)-VI	NCBI|amr:amr|aminoglycoside|aac(3)-VIa|WP_000131886.1	aminoglycoside N-acetyltransferase AAC(3)-VIa
aminoglycoside	aac(3)-VI	NCBI|amr:amr|aminoglycoside|aac(3)-VIa|WP_063840273.1	aminoglycoside N-acetyltransferase AAC(3)-VIa
aminoglycoside	aac(3)-VII	NCBI|amr:amr|aminoglycoside|aac(3)-VIIa|WP_063840272.1	aminoglycoside N-acetyltransferase AAC(3)-VIIa
aminoglycoside	aac(3)-VIII	NCBI|amr:amr|aminoglycoside|aac(3)-VIII|WP_031136588.1	aminoglycoside N-acetyltransferase AAC(3)-VIII
aminoglycoside	aac(3)-VIII	NCBI|amr:amr|aminoglycoside|aac(3)-VIII|WP_063840270.1	aminoglycoside N-acetyltransferase AAC(3)-VIII
aminoglycoside	aac(3)-VIII	NCBI|amr:amr|aminoglycoside|aac(3)-VIII|WP_063840271.1	aminoglycoside N-acetyltransferase AAC(3)-VIII
aminoglycoside	aac(3)-VIII	NCBI|amr:amr|aminoglycoside|aac(3)-VIII|WP_063856943.1	aminoglycoside N-acetyltransferase AAC(3)-VIIIa
aminoglycoside	aac(3)-X	NCBI|amr:amr|aminoglycoside|aac(3)-Xa|WP_012377682.1	aminoglycoside N-acetyltransferase AAC(3)-Xa
aminoglycoside	aac(3)-XI	NCBI|amr:amr|aminoglycoside|aac(3)-XI|WP_046095284.1	aminoglycoside N-acetyltransferase AAC(3)-XI
aminoglycoside	aac(6')*	CARD|homolog|aminoglycoside|AAC(6')-34|APB03223.1	aminoglycoside 6' phosphotransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-29|WP_064190968.1	aminoglycoside N-acetyltransferase AAC(6')-29a
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-29|WP_064190969.1	aminoglycoside N-acetyltransferase AAC(6')-29b
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-30|WP_051645529.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-30
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-31|WP_044424439.1	aminoglycoside N-acetyltransferase AAC(6')-31
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-31|WP_054914207.1	aminoglycoside N-acetyltransferase AAC(6')-31
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-31|WP_058124867.1	aminoglycoside N-acetyltransferase AAC(6')-31
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-35|WP_087349651.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-35
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-D292|WP_058878818.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-D292
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-D42|WP_318245537.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-D42
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E111|WP_065217783.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E111
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E141|WP_026868862.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E141
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E449|WP_318245538.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E449
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E526|WP_128470137.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E526
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E550|WP_058699631.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E550
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E553|WP_318245539.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E553
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E606|WP_000405752.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E606
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E64|WP_318245540.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E64
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E657|WP_024566461.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E657
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-E963|WP_104467712.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E963
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')-kana|WP_055545096.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_003950682.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_004874306.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_023417224.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_026328431.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_029391459.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_030403494.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_030695745.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_031084431.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_032491968.1	aminoglycoside N-acetyltransferase AAC(6')-32
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_041550454.1	aminoglycoside 6'-N-acetyltransferase AacA47
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_046928126.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_047139664.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_047467383.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_049646085.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_049677835.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_050141558.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_050537864.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_053638058.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aac(6')|WP_071846352.1	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aacA32|WP_071846213.1	AacA4 family aminoglycoside N(6')-acetyltransferase
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aacA34|WP_052285801.1	aminoglycoside 6'-N-acetyltransferase AacA34
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aacA34|WP_071846255.1	aminoglycoside 6'-N-acetyltransferase AacA34
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aacA37|WP_063840332.1	aminoglycoside 6'-N-acetyltransferase AacA37
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aacA38|WP_027814019.1	aminoglycoside 6'-N-acetyltransferase AacA38
aminoglycoside	aac(6')*	NCBI|amr:amr|aminoglycoside|aacA8|WP_051449075.1	aminoglycoside 6'-N-acetyltransferase AacA8
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_063840320.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr6
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_063840321.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_065187000.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr4
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_071766399.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr7
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_071766621.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr3
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_071846215.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_124042715.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr10
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_131534982.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr9
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_151346866.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr8
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside/quinolone|aac(6')-Ib-cr|WP_159241551.1	fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr11
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-F309|WP_318245541.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-F309
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-F72|WP_172693600.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-F72
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Iad|WP_063840277.1	aminoglycoside N-acetyltransferase AAC(6')-Iad
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Iak|WP_005418370.1	aminoglycoside N-acetyltransferase AAC(6')-Iak
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Iak|WP_049468785.1	aminoglycoside N-acetyltransferase AAC(6')-Iak
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Iak|WP_053461075.1	aminoglycoside N-acetyltransferase AAC(6')-Iak
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Iak|WP_057493474.1	aminoglycoside N-acetyltransferase AAC(6')-Iak
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Iak|WP_064239013.1	aminoglycoside N-acetyltransferase AAC(6')-Iak
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ian|WP_000960976.1	aminoglycoside N-acetyltransferase AAC(6')-Ian
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ian|WP_051139090.1	aminoglycoside N-acetyltransferase AAC(6')-Ian
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Iap|WP_262697082.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Iap
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ia|WP_013136949.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ia|WP_032489895.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ia|WP_058677876.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib'|WP_014454105.1	aminoglycoside N-acetyltransferase AAC(6')-Ib'
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib11|WP_032490438.1	aminoglycoside N-acetyltransferase AAC(6')-Ib11
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib11|WP_069985732.1	aminoglycoside N-acetyltransferase AAC(6')-Ib11
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_012695458.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_013250882.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_022631162.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_022631510.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_032488579.1	aminoglycoside N-acetyltransferase AAC(6')-Ib3
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_063612062.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_063840280.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_063840281.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_063840282.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_063840283.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_063840319.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_063978482.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_064765190.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_065187201.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_069067473.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071593200.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071593230.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071593232.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846208.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846209.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846241.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846249.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846254.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846262.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846281.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846291.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846301.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846329.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846332.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846335.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846361.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846373.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846382.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071846385.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_071984682.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_072201103.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_079452738.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')-I	NCBI|amr:amr|aminoglycoside|aac(6')-Ib|WP_085843736.1	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
