type	subtype	sarg	source	description	ko	definition
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_032491356.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_032491356.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_032492247.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_032492247.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_034006142.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ic|WP_034006142.1	aminoglycoside N-acetyltransferase AAC(3)-Ic	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_038404949.1	NCBI|amr:amr|aminoglycoside|aac(3)-Id|WP_038404949.1	aminoglycoside N-acetyltransferase AAC(3)-Id	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_063840256.1	NCBI|amr:amr|aminoglycoside|aac(3)-I|WP_063840256.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_063840257.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_063840257.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_063840258.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_063840258.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_063840259.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ia|WP_063840259.1	aminoglycoside N-acetyltransferase AAC(3)-Ia	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_063840260.1	NCBI|amr:amr|aminoglycoside|aac(3)-I|WP_063840260.1	AAC(3)-I family aminoglycoside 3-N-acetyltransferase	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_063856942.1	NCBI|amr:amr|aminoglycoside|aac(3)-If|WP_063856942.1	aminoglycoside N-acetyltransferase AAC(3)-If	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_071846359.1	NCBI|amr:amr|aminoglycoside|aac(3)-If|WP_071846359.1	aminoglycoside N-acetyltransferase AAC(3)-If	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-I	SARG|aminoglycoside|aac(3)-I|WP_079459897.1	NCBI|amr:amr|aminoglycoside|aac(3)-Ib|WP_079459897.1	aminoglycoside N-acetyltransferase AAC(3)-Ib	K03395*	aminoglycoside 3-N-acetyltransferase I
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_000557452.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIe|WP_000557452.1	aminoglycoside N-acetyltransferase AAC(3)-IIe	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_000557454.1	NCBI|amr:amr|aminoglycoside|aac(3)-IId|WP_000557454.1	aminoglycoside N-acetyltransferase AAC(3)-IId	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_002063884.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIe|WP_002063884.1	aminoglycoside N-acetyltransferase AAC(3)-IIe	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_012695485.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIg|WP_012695485.1	aminoglycoside N-acetyltransferase AAC(3)-IIg	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_015060297.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIe|WP_015060297.1	aminoglycoside N-acetyltransferase AAC(3)-IIe	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_033147097.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIb|WP_033147097.1	aminoglycoside N-acetyltransferase AAC(3)-IIb	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_063840264.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIa|WP_063840264.1	aminoglycoside N-acetyltransferase AAC(3)-IIa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_063840265.1	NCBI|amr:amr|aminoglycoside|aac(3)-IId|WP_063840265.1	aminoglycoside N-acetyltransferase AAC(3)-IId	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_063840266.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIc|WP_063840266.1	aminoglycoside N-acetyltransferase AAC(3)-IIc	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-II	SARG|aminoglycoside|aac(3)-II|WP_063840267.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIe|WP_063840267.1	aminoglycoside N-acetyltransferase AAC(3)-IIe	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-III	SARG|aminoglycoside|aac(3)-III|WP_058179966.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIIb|WP_058179966.1	aminoglycoside N-acetyltransferase AAC(3)-IIIb	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-III	SARG|aminoglycoside|aac(3)-III|WP_063840261.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIIa|WP_063840261.1	aminoglycoside N-acetyltransferase AAC(3)-IIIa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-III	SARG|aminoglycoside|aac(3)-III|WP_063840263.1	NCBI|amr:amr|aminoglycoside|aac(3)-IIIc|WP_063840263.1	aminoglycoside N-acetyltransferase AAC(3)-IIIc	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-IV	SARG|aminoglycoside|aac(3)-IV|WP_001199192.1	NCBI|amr:amr|aminoglycoside|aac(3)-IVa|WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IVa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-IV	SARG|aminoglycoside|aac(3)-IV|WP_149317372.1	NCBI|amr:amr|aminoglycoside|aac(3)-IVb|WP_149317372.1	aminoglycoside N-acetyltransferase AAC(3)-IVb	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-IX	SARG|aminoglycoside|aac(3)-IX|WP_063840269.1	NCBI|amr:amr|aminoglycoside|aac(3)-IXa|WP_063840269.1	aminoglycoside N-acetyltransferase AAC(3)-IXa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-VI	SARG|aminoglycoside|aac(3)-VI|WP_000131886.1	NCBI|amr:amr|aminoglycoside|aac(3)-VIa|WP_000131886.1	aminoglycoside N-acetyltransferase AAC(3)-VIa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-VI	SARG|aminoglycoside|aac(3)-VI|WP_063840273.1	NCBI|amr:amr|aminoglycoside|aac(3)-VIa|WP_063840273.1	aminoglycoside N-acetyltransferase AAC(3)-VIa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-VII	SARG|aminoglycoside|aac(3)-VII|WP_063840272.1	NCBI|amr:amr|aminoglycoside|aac(3)-VIIa|WP_063840272.1	aminoglycoside N-acetyltransferase AAC(3)-VIIa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-VIII	SARG|aminoglycoside|aac(3)-VIII|WP_031136588.1	NCBI|amr:amr|aminoglycoside|aac(3)-VIII|WP_031136588.1	aminoglycoside N-acetyltransferase AAC(3)-VIII	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-VIII	SARG|aminoglycoside|aac(3)-VIII|WP_063840270.1	NCBI|amr:amr|aminoglycoside|aac(3)-VIII|WP_063840270.1	aminoglycoside N-acetyltransferase AAC(3)-VIII	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-VIII	SARG|aminoglycoside|aac(3)-VIII|WP_063840271.1	NCBI|amr:amr|aminoglycoside|aac(3)-VIII|WP_063840271.1	aminoglycoside N-acetyltransferase AAC(3)-VIII	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-VIII	SARG|aminoglycoside|aac(3)-VIII|WP_063856943.1	NCBI|amr:amr|aminoglycoside|aac(3)-VIII|WP_063856943.1	aminoglycoside N-acetyltransferase AAC(3)-VIIIa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-X	SARG|aminoglycoside|aac(3)-X|WP_012377682.1	NCBI|amr:amr|aminoglycoside|aac(3)-Xa|WP_012377682.1	aminoglycoside N-acetyltransferase AAC(3)-Xa	K00662*	aminoglycoside 3-N-acetyltransferase
aminoglycoside	aac(3)-XI	SARG|aminoglycoside|aac(3)-XI|WP_046095284.1	NCBI|amr:amr|aminoglycoside|aac(3)-XI|WP_046095284.1	aminoglycoside N-acetyltransferase AAC(3)-XI	K03830	putative acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|APB03223.1	REF|aminoglycoside|aac(6')-34|APB03223.1	aminoglycoside 6' phosphotransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_000405752.1	NCBI|amr:amr|aminoglycoside|aac(6')-E606|WP_000405752.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E606	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_003950682.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_003950682.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_004874306.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_004874306.1	aminoglycoside 6'-N-acetyltransferase	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_009067544.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_009067544.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_018893623.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_018893623.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_019655053.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_019655053.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_023417224.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_023417224.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_023529211.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_023529211.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_024566461.1	NCBI|amr:amr|aminoglycoside|aac(6')-E657|WP_024566461.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E657	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_026328431.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_026328431.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_026868862.1	NCBI|amr:amr|aminoglycoside|aac(6')-E141|WP_026868862.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E141	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_027814019.1	NCBI|amr:amr|aminoglycoside|aacA38|WP_027814019.1	aminoglycoside 6'-N-acetyltransferase AacA38	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_029391459.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_029391459.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_030403494.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_030403494.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_030695745.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_030695745.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_031084431.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_031084431.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_032491968.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_032491968.1	aminoglycoside N-acetyltransferase AAC(6')-32	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_033268654.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_033268654.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_037790839.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_037790839.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_039110076.1	NCBI|amr:amr|aminoglycoside|aac(6')-29|WP_039110076.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-29	K18816	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_039639671.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_039639671.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_041550454.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_041550454.1	aminoglycoside 6'-N-acetyltransferase AacA47	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_043911783.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_043911783.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_044424439.1	NCBI|amr:amr|aminoglycoside|aac(6')-31|WP_044424439.1	aminoglycoside N-acetyltransferase AAC(6')-31	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_046502149.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_046502149.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_046897272.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_046897272.1	aminoglycoside 6'-N-acetyltransferase	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_046928126.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_046928126.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_046930149.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_046930149.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_047139664.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_047139664.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_047467383.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_047467383.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_049031504.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_049031504.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_049443010.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_049443010.1	aminoglycoside 6'-N-acetyltransferase	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_049646085.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_049646085.1	aminoglycoside 6'-N-acetyltransferase	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_049677835.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_049677835.1	aminoglycoside 6'-N-acetyltransferase	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_050141558.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_050141558.1	aminoglycoside 6'-N-acetyltransferase	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_050537864.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_050537864.1	aminoglycoside 6'-N-acetyltransferase	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_051449075.1	NCBI|amr:amr|aminoglycoside|aacA8|WP_051449075.1	aminoglycoside 6'-N-acetyltransferase AacA8	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_051645529.1	NCBI|amr:amr|aminoglycoside|aac(6')-30|WP_051645529.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-30	K18816	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_052285801.1	NCBI|amr:amr|aminoglycoside|aacA34|WP_052285801.1	aminoglycoside 6'-N-acetyltransferase AacA34	K18816	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_053638058.1	NCBI|amr:amr|aminoglycoside|aac(6')|WP_053638058.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_054914207.1	NCBI|amr:amr|aminoglycoside|aac(6')-31|WP_054914207.1	aminoglycoside N-acetyltransferase AAC(6')-31	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_055545096.1	NCBI|amr:amr|aminoglycoside|aac(6')-kana|WP_055545096.1	aminoglycoside 6'-N-acetyltransferase	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_058124867.1	NCBI|amr:amr|aminoglycoside|aac(6')-31|WP_058124867.1	aminoglycoside N-acetyltransferase AAC(6')-31	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_058699631.1	NCBI|amr:amr|aminoglycoside|aac(6')-E550|WP_058699631.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E550	K18816*	aminoglycoside 6'-N-acetyltransferase I
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_058878818.1	NCBI|amr:amr|aminoglycoside|aac(6')-D292|WP_058878818.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-D292	K00663*	aminoglycoside 6'-N-acetyltransferase
aminoglycoside	aac(6')*	SARG|aminoglycoside|aac(6')*|WP_063840332.1	NCBI|amr:amr|aminoglycoside|aacA37|WP_063840332.1	aminoglycoside 6'-N-acetyltransferase AacA37	K18816	aminoglycoside 6'-N-acetyltransferase I
